movie_title,사극,SF,어드벤처,액션,범죄,판타지,가족,미스터리,스릴러,뮤지컬,코미디,공포(호러),애니메이션,드라마,서부극(웨스턴),전쟁,멜로/로맨스,기타,다큐멘터리,공연,성인물(에로),director_power,actor_power,1주차스크린점유율,2주동안의 경쟁영화수,1주차실관람객평균평점,누적_매출액,nationality_한국영화,watch_grade_15세이상관람가,watch_grade_전체관람가,watch_grade_청소년관람불가
기억의 밤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.750930690512888,15.918705782187347,0.13,4.770684624465665,2.2571571724423634,22.97870946382616,1.0,1.0,0.0,0.0
꾼,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.524897179608015,0.21739999999999998,4.7535901911063645,2.2364533651791225,23.934354137446814,1.0,1.0,0.0,0.0
"나는 내일, 어제의 너와 만난다",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.942614670143277,11.389013365102048,0.030500000000000003,4.454347296253507,2.2727954904234045,20.833915670367286,0.0,0.0,0.0,0.0
나를 잊지 말아요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.11061275493709,18.03804301074029,0.0915,4.31748811353631,2.0519682588342003,21.923719205617836,1.0,1.0,0.0,0.0
나를 차버린 스파이,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.040495311591092,0.04280000000000001,4.787491742782046,2.1972245773362196,21.463847740146488,0.0,1.0,0.0,0.0
나미야 잡화점의 기적,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.922165269933602,10.912237017611146,0.081,4.672828834461906,2.1630090136282876,21.048293393773893,0.0,0.0,1.0,0.0
나우 유 씨 미 2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93022962575906,0.18340000000000004,4.543294782270004,2.2635099396080274,23.76679726540137,0.0,0.0,0.0,0.0
나의 소녀시대,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,4.532599493153256,2.341805806147327,21.32257112978344,0.0,1.0,0.0,0.0
나의 특별한 형제,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.146484010246244,0.146,4.795790545596741,2.326545068979066,23.10890640804463,1.0,0.0,0.0,0.0
남한산성,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.369845590917826,0.1925,4.465908118654584,2.21971112646901,24.11310414096844,1.0,1.0,0.0,0.0
